Country,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
SPAIN,0,1,1,1,1,2,3,3,4,4,4,4,4,4,3,4,4,4,3,4,4,4,4,5,4
ENGLAND,0,0,1,1,1,2,2,3,3,3,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4
ITALY,1,1,1,1,2,2,2,3,3,3,4,4,4,4,3,4,4,4,3,3,2,3,2,2,2
GERMANY,0,1,1,1,1,3,2,4,3,4,3,2,3,3,3,3,2,3,3,3,3,4,4,4,4
FRANCE,1,1,1,1,1,2,1,2,3,3,3,3,3,2,3,2,3,3,3,3,3,2,2,2,3
PORTUGAL,1,1,1,1,1,2,2,2,1,2,0,1,1,2,3,3,2,1,2,2,3,2,3,2,3
NETHERLANDS,1,0,1,1,1,2,2,3,2,2,3,2,2,2,1,1,1,1,2,1,1,1,1,1,1
RUSSIA,1,1,1,1,0,0,1,1,1,2,2,1,1,0,2,1,1,2,2,2,2,2,2,2,2
GREECE,0,0,1,1,0,1,2,1,2,2,2,3,2,2,2,1,1,1,1,1,1,1,1,1,0
TURKEY,0,1,1,0,1,2,1,1,2,2,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1
UKRAINE,0,0,1,0,0,1,1,1,2,1,1,1,2,0,2,2,2,1,1,1,2,1,1,2,1
BELGIUM,1,1,1,0,0,1,0,0,1,1,2,2,1,2,1,0,0,1,0,1,1,1,1,1,1
SCOTLAND,1,0,0,1,1,0,0,1,1,1,0,2,1,1,1,2,1,1,1,0,1,1,0,0,1
ROMANIA,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,2,1,1,1,1,1,0,0,0
NORWAY,0,0,0,1,1,1,1,2,1,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0
SWITZERLAND,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,1,1,1,1,0,1,1,0,1
CZECH,0,0,0,0,0,1,0,1,1,1,0,1,1,1,0,1,0,0,0,1,0,1,0,0,0
SWEDEN,1,0,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
DENMARK,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,1,1,0,0,1
AUSTRIA,0,0,1,0,1,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
CROATIA,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1
ISRAEL,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,1,0
BELARUS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,1,0
CYPRUS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0
SLOVAKIA,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
POLAND,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
BULGARIA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
HUNGARY,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
SERBIA,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
SLOVENIA,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
FINLAND,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KAZAKHSTAN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0


